id,score,gender,lname,fname
172-32-1176,2,m,White,Johnson
514-14-8905,5,f,Borden,Ashley
213-46-8915,7,f,Green,Marjorie
524-02-7657,2,m,Munsch,Jerome
489-36-8350,8,m,Aragon,Robert
514-30-2668,3,f,Russell,Jacki
505-88-5714,9,f,Venson,Lillian
690-05-5315,4,m,Conley,Thomas
646-44-9061,6,M,Jackson,Charles
421-37-1396,4,f,Davis,Susan
461-97-5660,7,f,Watson,Gail
660-03-8360,2,f,Garrison,Lisa
751-01-2327,5,f,Renfro,Julie
559-81-1301,4,m,Heard,James
624-84-9181,2,m,Reyes,Danny
449-48-3135,1,m,Hall,Mark
477-36-0282,7,m,Mceachern,Monte
458-02-6124,6,m,Diaz,Christopher
044-34-6954,5,m,Lowe,Tim
587-03-2682,3,f,Oyola,Lynette
421-90-3440,8,f,Morrison,Adriane
451-80-3526,2,m,Santos,Thomas
300-62-3266,6,m,Faulkner,Victor
322-84-2281,3,m,Iorio,Albert
465-73-5022,5,f,Kaminski,Teresa
612-20-6832,9,m,Edwards,Rick
687-05-8365,1,f,Peacock,Stacey
205-52-0027,6,f,Nelson,Agnes
404-12-2154,3,f,Townsend,Mireille
151-32-2558,7,f,Zwick,Rebecca
